paramName,sysex0,sysex1,nrpn,bytes,scale,signed,min,max,dmin,dmax,exp,thresh,base,coeff,control
att,0,0a,0,2,LIN,true,-480,240,-480,480,,,,,quickControls:QuickControl1
mute,0,0c,1,1,SW,,,,,,,,,,mute
solo,0,0d,2,1,SW,,,,,,,,,,solo
fader,0,0e,3,2,SPLINE,true,-906,100,-1200,60.2,,,,,volume
pan,0,10,4,1,LIN,false,1,127,1,127,,,,,panner:panX
filter sw,0,20,5,1,SW,,,,,,,,,,inserts/slot1:on
filter att,0,22,6,2,EXPLIN,true,-480,150,-1000,360,,-216,1.005772709,0.6934,inserts/slot1:param4
filter freq,0,24,7,3,LOG,false,20,20000,10,30000,,,,,inserts/slot1:param149
filter q,0,27,8,2,LOG,false,36,1600,2.5,4000,,,,,inserts/slot1:param151
gate sw,0,30,9,1,SW,,,,,,,,,,inserts/slot2:on
gate thresh,0,33,10,2,LIN,true,-800,0,-600,0,,,,,inserts/slot2:param0
gate ratio,0,35,11,1,STAIRS,,,,,,,,,,inserts/slot2:param2
gate range,0,37,12,2,POLY,true,-1000,0,-1000,0,,,,,inserts/slot2:param4
gate attack,0,39,13,2,POW,false,0,8000,0,10000,0.25,,,,inserts/slot2:param6
gate rel,0,3b,14,2,POWLIN,false,0,8000,0,5000,0.333333,2500,,0.9,inserts/slot2:param7
gate hold,0,3d,15,2,POLY,false,0,8000,0,250,,,,,inserts/slot2:param8
comp sw,0,40,16,1,SW,,,,,,,,,,inserts/slot3:on
comp thresh,0,42,17,2,LIN,true,-400,0,-600,0,,,,,inserts/slot3:param1
comp ratio,0,44,18,1,STAIRS,,,,,,,,,,inserts/slot3:param2
comp knee,0,45,19,1,LIN,false,0,9,0,27,,,,,inserts/slot3:param3
comp attack,0,46,20,2,POW,false,0,8000,0,2500,0.333333,,,,inserts/slot3:param5
comp rel,0,48,21,2,SPLINE,false,0,8000,10,2500,,,,,inserts/slot3:param6
comp gain,0,4a,22,2,EXPLIN,true,-400,400,-1000,360,,-216,1.005772709,0.6934,inserts/slot3:param10
comp a-gain,0,4c,23,1,SW,,,,,,,,,,inserts/slot3:param14
eq sw,0,50,24,1,LIN,false,0,1,0,1.5,,,,,inserts/slot4:on
eq att,0,51,25,2,EXPLIN,true,-480,150,-1000,360,,-216,1.005772709,0.6934,inserts/slot4:param4
eq1 gain,0,53,26,2,LIN,true,-150,150,-300,300,,,,,inserts/slot4:param150
eq1 freq,0,55,27,3,LOG,false,20,1000,10,30000,,,,,inserts/slot4:param149
eq2 gain,0,58,28,2,LIN,true,-150,150,-300,300,,,,,inserts/slot4:param157
eq2 freq,0,5a,29,3,LOG,false,20,20000,10,30000,,,,,inserts/slot4:param156
eq2 q,0,5d,30,2,LOG,false,36,1600,2.5,4000,,,,,inserts/slot4:param158
eq3 gain,0,5f,31,2,LIN,true,-150,150,-300,300,,,,,inserts/slot4:param164
eq3 freq,0,61,32,3,LOG,false,20,20000,10,30000,,,,,inserts/slot4:param163
eq3 q,0,64,33,2,LOG,false,36,1600,2.5,4000,,,,,inserts/slot4:param165
eq4 gain,0,66,34,2,LIN,true,-150,150,-300,300,,,,,inserts/slot4:param171
eq4 freq,0,68,35,3,LOG,false,1000,20000,10,30000,,,,,inserts/slot4:param170
aux01 sw,1,0,36,1,SW,,,,,,,,,,sends/slot1:on
aux01 send,1,2,37,2,SPLINE,true,-906,100,-1200,60.2,,,,,sends/slot1:volume
aux02 sw,1,8,38,1,SW,,,,,,,,,,sends/slot2:on
aux02 send,1,0a,39,2,SPLINE,true,-906,100,-1200,60.2,,,,,sends/slot2:volume
aux03 sw,1,10,40,1,SW,,,,,,,,,,sends/slot3:on
aux03 send,1,12,41,2,SPLINE,true,-906,100,-1200,60.2,,,,,sends/slot3:volume
aux04 sw,1,18,42,1,SW,,,,,,,,,,sends/slot4:on
aux04 send,1,1a,43,2,SPLINE,true,-906,100,-1200,60.2,,,,,sends/slot4:volume
aux05 sw,1,20,44,1,SW,,,,,,,,,,sends/slot5:on
aux05 send,1,22,45,2,SPLINE,true,-906,100,-1200,60.2,,,,,sends/slot5:volume
aux06 sw,1,28,46,1,SW,,,,,,,,,,sends/slot6:on
aux06 send,1,2a,47,2,SPLINE,true,-906,100,-1200,60.2,,,,,sends/slot6:volume
aux07 sw,1,30,48,1,SW,,,,,,,,,,sends/slot7:on
aux07 send,1,32,49,2,SPLINE,true,-906,100,-1200,60.2,,,,,sends/slot7:volume
aux08 sw,1,38,50,1,SW,,,,,,,,,,sends/slot8:on
aux08 send,1,3a,51,2,SPLINE,true,-906,100,-1200,60.2,,,,,sends/slot8:volume
